,time,location_name
304,2006-10-17,Cape Town
305,2007-01-25,Cape Town
306,2007-03-09,Cape Town
307,2007-05-05,Cape Town
308,2007-06-13,Cape Town
309,2007-06-23,Cape Town
310,2007-06-25,Cape Town
311,2007-08-27,Cape Town
312,2007-09-11,Cape Town
313,2007-10-07,Cape Town
314,2007-12-09,Cape Town
315,2008-01-15,Cape Town
316,2008-02-02,Cape Town
317,2008-02-10,Cape Town
318,2008-05-06,Cape Town
319,2008-07-08,Cape Town
320,2008-07-09,Cape Town
321,2008-08-30,Cape Town
322,2008-08-31,Cape Town
323,2008-11-11,Cape Town
324,2009-03-05,Cape Town
325,2009-03-06,Cape Town
326,2009-04-03,Cape Town
327,2009-06-24,Cape Town
328,2009-07-12,Cape Town
329,2009-08-18,Cape Town
330,2009-09-27,Cape Town
331,2009-11-07,Cape Town
332,2010-02-28,Cape Town
333,2010-03-07,Cape Town
334,2010-03-10,Cape Town
335,2010-06-14,Cape Town
336,2010-06-17,Cape Town
337,2010-08-31,Cape Town
338,2010-11-18,Cape Town
339,2010-12-02,Cape Town
340,2010-12-13,Cape Town
341,2010-12-20,Cape Town
342,2011-02-10,Cape Town
343,2011-03-16,Cape Town
344,2011-03-30,Cape Town
345,2011-05-05,Cape Town
346,2011-07-06,Cape Town
347,2011-07-24,Cape Town
348,2011-07-26,Cape Town
349,2012-01-20,Cape Town
350,2012-02-07,Cape Town
351,2012-03-29,Cape Town
352,2012-04-12,Cape Town
353,2012-05-31,Cape Town
354,2012-06-21,Cape Town
355,2012-07-12,Cape Town
356,2012-07-13,Cape Town
357,2012-07-14,Cape Town
358,2012-08-06,Cape Town
359,2012-08-08,Cape Town
360,2012-09-18,Cape Town
361,2012-11-29,Cape Town
362,2012-12-31,Cape Town
363,2013-01-18,Cape Town
364,2013-02-09,Cape Town
365,2013-03-31,Cape Town
366,2013-04-25,Cape Town
367,2013-08-07,Cape Town
368,2013-08-09,Cape Town
369,2013-08-30,Cape Town
370,2013-09-10,Cape Town
371,2013-10-05,Cape Town
372,2013-11-15,Cape Town
373,2014-01-28,Cape Town
374,2014-02-16,Cape Town
375,2014-03-24,Cape Town
376,2014-04-12,Cape Town
377,2014-05-24,Cape Town
378,2014-06-25,Cape Town
379,2014-10-05,Cape Town
380,2015-03-03,Cape Town
381,2015-04-09,Cape Town
382,2015-06-07,Cape Town
383,2015-07-20,Cape Town
384,2015-08-18,Cape Town
385,2015-09-10,Cape Town
386,2015-11-01,Cape Town
387,2016-01-06,Cape Town
388,2016-01-09,Cape Town
389,2016-01-11,Cape Town
390,2016-01-13,Cape Town
391,2016-01-31,Cape Town
392,2016-04-22,Cape Town
393,2016-06-20,Cape Town
394,2016-07-01,Cape Town
395,2016-12-23,Cape Town
396,2017-01-09,Cape Town
397,2017-02-11,Cape Town
398,2017-02-19,Cape Town
399,2017-04-08,Cape Town
400,2017-04-25,Cape Town
401,2017-04-30,Cape Town
402,2017-06-06,Cape Town
403,2017-06-07,Cape Town
